Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
March 2011 Second Open Bidding Exercise,23/03/2011,2011,Cat E (Open),330,59073,458,330
March 2011 First Open Bidding Exercise,9/3/2011,2011,Cat A (Cars up to 1600cc and 97kW),532,42600,875,530
March 2011 First Open Bidding Exercise,9/3/2011,2011,Cat B (Cars above 1600cc or 97kW),424,61894,667,423
March 2011 First Open Bidding Exercise,9/3/2011,2011,Cat D (Motorcycles),325,2604,490,310
March 2011 First Open Bidding Exercise,9/3/2011,2011,Cat C (Goods vehicles and buses),276,30001,360,276
March 2011 First Open Bidding Exercise,9/3/2011,2011,Cat E (Open),336,62010,574,324
February 2011 Second Open Bidding Exercise,23/02/2011,2011,Cat A (Cars up to 1600cc and 97kW),511,42999,788,494
February 2011 Second Open Bidding Exercise,23/02/2011,2011,Cat B (Cars above 1600cc or 97kW),424,62000,726,423
February 2011 Second Open Bidding Exercise,23/02/2011,2011,Cat D (Motorcycles),330,2001,461,294
February 2011 Second Open Bidding Exercise,23/02/2011,2011,Cat C (Goods vehicles and buses),287,29011,368,282
February 2011 Second Open Bidding Exercise,23/02/2011,2011,Cat E (Open),336,62001,558,335
February 2011 First Open Bidding Exercise,9/2/2011,2011,Cat A (Cars up to 1600cc and 97kW),523,37124,1146,501
February 2011 First Open Bidding Exercise,9/2/2011,2011,Cat B (Cars above 1600cc or 97kW),431,53400,640,431
February 2011 First Open Bidding Exercise,9/2/2011,2011,Cat D (Motorcycles),328,1819,417,328
February 2011 First Open Bidding Exercise,9/2/2011,2011,Cat C (Goods vehicles and buses),275,28589,356,275
February 2011 First Open Bidding Exercise,9/2/2011,2011,Cat E (Open),333,58890,648,326
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat A (Cars up to 1600cc and 97kW),607,40123,1091,606
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat B (Cars above 1600cc or 97kW),483,58910,700,482
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat D (Motorcycles),339,1690,458,335
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat C (Goods vehicles and buses),207,30000,272,196
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat E (Open),319,67009,433,312
January 2011 First Open Bidding Exercise,5/1/2011,2011,Cat A (Cars up to 1600cc and 97kW),614,38889,1192,602
January 2011 First Open Bidding Exercise,5/1/2011,2011,Cat B (Cars above 1600cc or 97kW),481,69000,790,474
January 2011 First Open Bidding Exercise,5/1/2011,2011,Cat D (Motorcycles),340,1503,398,337
January 2011 First Open Bidding Exercise,5/1/2011,2011,Cat C (Goods vehicles and buses),205,35111,294,205
January 2011 First Open Bidding Exercise,5/1/2011,2011,Cat E (Open),309,75789,475,305
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat A (Cars up to 1600cc and 97kW),617,46129,755,607
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat B (Cars above 1600cc or 97kW),499,72001,872,494
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat D (Motorcycles),369,1551,406,362
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat C (Goods vehicles and buses),208,33501,300,205
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat E (Open),311,76102,463,302
December 2010 First Open Bidding Exercise,8/12/2010,2010,Cat A (Cars up to 1600cc and 97kW),598,47604,1020,582
December 2010 First Open Bidding Exercise,8/12/2010,2010,Cat B (Cars above 1600cc or 97kW),479,62502,1034,477
December 2010 First Open Bidding Exercise,8/12/2010,2010,Cat D (Motorcycles),337,1701,410,329
December 2010 First Open Bidding Exercise,8/12/2010,2010,Cat C (Goods vehicles and buses),208,32001,294,207
December 2010 First Open Bidding Exercise,8/12/2010,2010,Cat E (Open),313,64900,674,313
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat A (Cars up to 1600cc and 97kW),597,39000,833,577
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat B (Cars above 1600cc or 97kW),480,47890,709,459
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat D (Motorcycles),361,1502,424,324
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat C (Goods vehicles and buses),205,31202,241,202
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat E (Open),333,49890,634,332
November 2010 First Open Bidding Exercise,3/11/2010,2010,Cat A (Cars up to 1600cc and 97kW),598,34001,843,598
November 2010 First Open Bidding Exercise,3/11/2010,2010,Cat B (Cars above 1600cc or 97kW),482,45501,718,482
November 2010 First Open Bidding Exercise,3/11/2010,2010,Cat D (Motorcycles),357,1452,414,352
November 2010 First Open Bidding Exercise,3/11/2010,2010,Cat C (Goods vehicles and buses),205,31006,270,201
November 2010 First Open Bidding Exercise,3/11/2010,2010,Cat E (Open),316,46001,497,312
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat A (Cars up to 1600cc and 97kW),647,32415,817,647
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat B (Cars above 1600cc or 97kW),479,44600,766,478
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat D (Motorcycles),333,1689,430,304
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat C (Goods vehicles and buses),210,30511,287,210
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat E (Open),311,44900,455,287
October 2010 First Open Bidding Exercise,6/10/2010,2010,Cat A (Cars up to 1600cc and 97kW),601,33132,722,601
October 2010 First Open Bidding Exercise,6/10/2010,2010,Cat B (Cars above 1600cc or 97kW),479,42801,630,476
October 2010 First Open Bidding Exercise,6/10/2010,2010,Cat D (Motorcycles),345,1502,422,320
October 2010 First Open Bidding Exercise,6/10/2010,2010,Cat C (Goods vehicles and buses),218,30889,287,217
October 2010 First Open Bidding Exercise,6/10/2010,2010,Cat E (Open),311,44090,518,304
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat A (Cars up to 1600cc and 97kW),597,30001,993,547
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat B (Cars above 1600cc or 97kW),488,42501,648,488
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat D (Motorcycles),338,1452,364,337
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat C (Goods vehicles and buses),206,31001,271,201
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat E (Open),309,43290,520,307
September 2010 First Open Bidding Exercise,8/9/2010,2010,Cat A (Cars up to 1600cc and 97kW),631,33089,775,628
September 2010 First Open Bidding Exercise,8/9/2010,2010,Cat B (Cars above 1600cc or 97kW),479,44129,757,479
September 2010 First Open Bidding Exercise,8/9/2010,2010,Cat D (Motorcycles),342,1502,453,329
September 2010 First Open Bidding Exercise,8/9/2010,2010,Cat C (Goods vehicles and buses),204,33000,291,190
September 2010 First Open Bidding Exercise,8/9/2010,2010,Cat E (Open),310,44001,460,308
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat A (Cars up to 1600cc and 97kW),606,29000,975,606
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat B (Cars above 1600cc or 97kW),482,42810,683,472
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat D (Motorcycles),335,1251,369,330
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat C (Goods vehicles and buses),206,30002,275,205
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat E (Open),315,43501,583,315
August 2010 First Open Bidding Exercise,4/8/2010,2010,Cat A (Cars up to 1600cc and 97kW),622,32104,786,589
August 2010 First Open Bidding Exercise,4/8/2010,2010,Cat B (Cars above 1600cc or 97kW),479,43334,662,479
August 2010 First Open Bidding Exercise,4/8/2010,2010,Cat D (Motorcycles),336,1301,384,326
August 2010 First Open Bidding Exercise,4/8/2010,2010,Cat C (Goods vehicles and buses),205,30112,284,205
August 2010 First Open Bidding Exercise,4/8/2010,2010,Cat E (Open),309,42901,594,308
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat A (Cars up to 1600cc and 97kW),699,36162,967,691
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat B (Cars above 1600cc or 97kW),552,42889,890,548
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat D (Motorcycles),337,1290,372,334
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat C (Goods vehicles and buses),183,30601,285,182
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat E (Open),363,43565,725,357
July 2010 First Open Bidding Exercise,7/7/2010,2010,Cat A (Cars up to 1600cc and 97kW),700,29501,893,676
July 2010 First Open Bidding Exercise,7/7/2010,2010,Cat B (Cars above 1600cc or 97kW),557,35909,671,557
July 2010 First Open Bidding Exercise,7/7/2010,2010,Cat D (Motorcycles),351,1320,476,347
July 2010 First Open Bidding Exercise,7/7/2010,2010,Cat C (Goods vehicles and buses),177,31389,277,176
July 2010 First Open Bidding Exercise,7/7/2010,2010,Cat E (Open),399,41010,660,399
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat A (Cars up to 1600cc and 97kW),699,31510,902,697
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat B (Cars above 1600cc or 97kW),557,39911,720,554
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat D (Motorcycles),340,1454,376,339
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat C (Goods vehicles and buses),182,31689,253,175
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat E (Open),362,41006,682,359
June 2010 First Open Bidding Exercise,9/6/2010,2010,Cat A (Cars up to 1600cc and 97kW),706,30051,1107,704
June 2010 First Open Bidding Exercise,9/6/2010,2010,Cat B (Cars above 1600cc or 97kW),553,40002,779,546
June 2010 First Open Bidding Exercise,9/6/2010,2010,Cat D (Motorcycles),359,1452,504,344
June 2010 First Open Bidding Exercise,9/6/2010,2010,Cat C (Goods vehicles and buses),178,30189,273,177
June 2010 First Open Bidding Exercise,9/6/2010,2010,Cat E (Open),361,41000,639,322
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat A (Cars up to 1600cc and 97kW),699,27389,1036,697
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat B (Cars above 1600cc or 97kW),561,34600,715,553
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat D (Motorcycles),364,1312,468,360
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat C (Goods vehicles and buses),176,29389,296,170
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat E (Open),367,39000,608,365
May 2010 First Open Bidding Exercise,5/5/2010,2010,Cat A (Cars up to 1600cc and 97kW),806,26102,1294,798
May 2010 First Open Bidding Exercise,5/5/2010,2010,Cat B (Cars above 1600cc or 97kW),550,38000,869,547
May 2010 First Open Bidding Exercise,5/5/2010,2010,Cat D (Motorcycles),340,1252,415,317
May 2010 First Open Bidding Exercise,5/5/2010,2010,Cat C (Goods vehicles and buses),189,32501,329,187
May 2010 First Open Bidding Exercise,5/5/2010,2010,Cat E (Open),404,39002,857,403
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat A (Cars up to 1600cc and 97kW),706,30000,1242,704
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat B (Cars above 1600cc or 97kW),561,40001,896,549
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat D (Motorcycles),339,1253,383,311
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat C (Goods vehicles and buses),203,35556,298,203
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat E (Open),390,43003,709,383
April 2010 First Open Bidding Exercise,7/4/2010,2010,Cat A (Cars up to 1600cc and 97kW),705,34001,1379,597
April 2010 First Open Bidding Exercise,7/4/2010,2010,Cat B (Cars above 1600cc or 97kW),571,45501,858,571
April 2010 First Open Bidding Exercise,7/4/2010,2010,Cat D (Motorcycles),338,1221,409,334
April 2010 First Open Bidding Exercise,7/4/2010,2010,Cat C (Goods vehicles and buses),180,36511,329,167
April 2010 First Open Bidding Exercise,7/4/2010,2010,Cat E (Open),372,49000,856,328
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat A (Cars up to 1600cc and 97kW),1146,28389,2183,1137
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat B (Cars above 1600cc or 97kW),711,36089,1207,699
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat D (Motorcycles),371,1200,495,368
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat C (Goods vehicles and buses),168,32890,341,141
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat E (Open),584,42001,1507,554
March 2010 First Open Bidding Exercise,10/3/2010,2010,Cat A (Cars up to 1600cc and 97kW),1148,20802,1758,1141
March 2010 First Open Bidding Exercise,10/3/2010,2010,Cat B (Cars above 1600cc or 97kW),688,26389,1087,667
March 2010 First Open Bidding Exercise,10/3/2010,2010,Cat D (Motorcycles),385,1159,467,383
March 2010 First Open Bidding Exercise,10/3/2010,2010,Cat C (Goods vehicles and buses),168,27001,257,164
March 2010 First Open Bidding Exercise,10/3/2010,2010,Cat E (Open),587,27590,1184,575
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat A (Cars up to 1600cc and 97kW),1148,20340,1493,1148
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat B (Cars above 1600cc or 97kW),685,23889,956,658
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat D (Motorcycles),363,1001,472,355
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat C (Goods vehicles and buses),173,23501,285,170
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat E (Open),590,24229,1255,587
February 2010 First Open Bidding Exercise,3/2/2010,2010,Cat A (Cars up to 1600cc and 97kW),1154,19989,1326,1153
February 2010 First Open Bidding Exercise,3/2/2010,2010,Cat B (Cars above 1600cc or 97kW),693,23180,930,690
February 2010 First Open Bidding Exercise,3/2/2010,2010,Cat D (Motorcycles),371,852,525,349
February 2010 First Open Bidding Exercise,3/2/2010,2010,Cat C (Goods vehicles and buses),165,21390,250,162
February 2010 First Open Bidding Exercise,3/2/2010,2010,Cat E (Open),601,22401,1069,596
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat A (Cars up to 1600cc and 97kW),1151,20501,1673,1149
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat B (Cars above 1600cc or 97kW),717,22400,1105,717
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat D (Motorcycles),378,852,551,378
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat C (Goods vehicles and buses),181,20090,280,173
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat E (Open),588,21899,1322,579
January 2010 First Open Bidding Exercise,6/1/2010,2010,Cat A (Cars up to 1600cc and 97kW),1152,18502,1342,1145
January 2010 First Open Bidding Exercise,6/1/2010,2010,Cat B (Cars above 1600cc or 97kW),687,19190,883,679
January 2010 First Open Bidding Exercise,6/1/2010,2010,Cat D (Motorcycles),373,889,509,365
January 2010 First Open Bidding Exercise,6/1/2010,2010,Cat C (Goods vehicles and buses),173,19001,265,173
January 2010 First Open Bidding Exercise,6/1/2010,2010,Cat E (Open),586,19889,1011,567
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat A (Cars up to 1600cc and 97kW),1150,18150,1465,1145
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat B (Cars above 1600cc or 97kW),697,17889,816,665
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat D (Motorcycles),363,851,447,348
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat C (Goods vehicles and buses),181,17900,283,165
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat E (Open),582,17889,1005,575
December 2009 First Open Bidding Exercise,9/12/2009,2009,Cat A (Cars up to 1600cc and 97kW),1151,18502,1658,1146
December 2009 First Open Bidding Exercise,9/12/2009,2009,Cat B (Cars above 1600cc or 97kW),692,19003,857,690
December 2009 First Open Bidding Exercise,9/12/2009,2009,Cat D (Motorcycles),393,854,515,383
December 2009 First Open Bidding Exercise,9/12/2009,2009,Cat C (Goods vehicles and buses),167,18289,334,159
December 2009 First Open Bidding Exercise,9/12/2009,2009,Cat E (Open),589,18509,850,585
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat A (Cars up to 1600cc and 97kW),1146,17189,1261,1142
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat B (Cars above 1600cc or 97kW),687,18002,797,675
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat D (Motorcycles),363,851,388,363
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat C (Goods vehicles and buses),165,17000,257,149
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat E (Open),587,18267,866,586
November 2009 First Open Bidding Exercise,4/11/2009,2009,Cat A (Cars up to 1600cc and 97kW),1226,16747,1395,1222
November 2009 First Open Bidding Exercise,4/11/2009,2009,Cat B (Cars above 1600cc or 97kW),704,18389,779,697
November 2009 First Open Bidding Exercise,4/11/2009,2009,Cat D (Motorcycles),380,902,458,351
November 2009 First Open Bidding Exercise,4/11/2009,2009,Cat C (Goods vehicles and buses),167,16989,252,165
November 2009 First Open Bidding Exercise,4/11/2009,2009,Cat E (Open),582,19000,923,575
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat A (Cars up to 1600cc and 97kW),1149,18899,1544,1149
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat B (Cars above 1600cc or 97kW),688,19510,832,686
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat D (Motorcycles),364,931,435,364
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat C (Goods vehicles and buses),174,18110,264,174
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat E (Open),592,19901,1082,586
October 2009 First Open Bidding Exercise,7/10/2009,2009,Cat A (Cars up to 1600cc and 97kW),1151,16201,1392,1072
October 2009 First Open Bidding Exercise,7/10/2009,2009,Cat B (Cars above 1600cc or 97kW),685,18109,816,666
October 2009 First Open Bidding Exercise,7/10/2009,2009,Cat D (Motorcycles),365,902,429,349
October 2009 First Open Bidding Exercise,7/10/2009,2009,Cat C (Goods vehicles and buses),167,21692,241,165
October 2009 First Open Bidding Exercise,7/10/2009,2009,Cat E (Open),584,21301,1062,584
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat A (Cars up to 1600cc and 97kW),1403,15589,1527,1400
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat B (Cars above 1600cc or 97kW),761,19801,914,758
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat D (Motorcycles),407,900,494,406
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat C (Goods vehicles and buses),237,15000,345,228
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat E (Open),716,20200,1244,705
September 2009 First Open Bidding Exercise,9/9/2009,2009,Cat A (Cars up to 1600cc and 97kW),1395,18020,1844,1391
September 2009 First Open Bidding Exercise,9/9/2009,2009,Cat B (Cars above 1600cc or 97kW),767,19289,1003,767
September 2009 First Open Bidding Exercise,9/9/2009,2009,Cat D (Motorcycles),405,1051,460,404
September 2009 First Open Bidding Exercise,9/9/2009,2009,Cat C (Goods vehicles and buses),231,16001,404,230
September 2009 First Open Bidding Exercise,9/9/2009,2009,Cat E (Open),722,19830,1227,720
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat A (Cars up to 1600cc and 97kW),1395,15019,1567,1387
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat B (Cars above 1600cc or 97kW),785,16290,889,784
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat D (Motorcycles),390,882,541,373
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat C (Goods vehicles and buses),235,17501,348,229
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat E (Open),721,17905,1187,721
August 2009 First Open Bidding Exercise,5/8/2009,2009,Cat A (Cars up to 1600cc and 97kW),1395,13658,1558,1395
August 2009 First Open Bidding Exercise,5/8/2009,2009,Cat B (Cars above 1600cc or 97kW),762,18890,934,755
August 2009 First Open Bidding Exercise,5/8/2009,2009,Cat D (Motorcycles),393,902,462,378
August 2009 First Open Bidding Exercise,5/8/2009,2009,Cat C (Goods vehicles and buses),242,18801,296,242
August 2009 First Open Bidding Exercise,5/8/2009,2009,Cat E (Open),743,19629,1224,737
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat A (Cars up to 1600cc and 97kW),1408,15291,1603,1408
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat B (Cars above 1600cc or 97kW),762,18501,992,737
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat D (Motorcycles),396,889,428,396
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat C (Goods vehicles and buses),232,17410,376,228
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat E (Open),716,18189,1352,711
July 2009 First Open Bidding Exercise,8/7/2009,2009,Cat A (Cars up to 1600cc and 97kW),1405,14310,1655,1405
July 2009 First Open Bidding Exercise,8/7/2009,2009,Cat B (Cars above 1600cc or 97kW),780,16801,1052,778
July 2009 First Open Bidding Exercise,8/7/2009,2009,Cat D (Motorcycles),422,900,504,419
July 2009 First Open Bidding Exercise,8/7/2009,2009,Cat C (Goods vehicles and buses),233,16888,289,222
July 2009 First Open Bidding Exercise,8/7/2009,2009,Cat E (Open),720,17501,1278,693
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat A (Cars up to 1600cc and 97kW),1415,12899,1735,1402
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat B (Cars above 1600cc or 97kW),760,14840,1066,758
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat D (Motorcycles),405,901,571,399
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat C (Goods vehicles and buses),241,12615,398,240
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat E (Open),717,15100,1516,717
June 2009 First Open Bidding Exercise,3/6/2009,2009,Cat A (Cars up to 1600cc and 97kW),1401,11690,1967,1391
June 2009 First Open Bidding Exercise,3/6/2009,2009,Cat B (Cars above 1600cc or 97kW),760,11889,1131,740
June 2009 First Open Bidding Exercise,3/6/2009,2009,Cat D (Motorcycles),406,889,472,374
June 2009 First Open Bidding Exercise,3/6/2009,2009,Cat C (Goods vehicles and buses),237,9690,321,235
June 2009 First Open Bidding Exercise,3/6/2009,2009,Cat E (Open),719,12901,1335,715
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat A (Cars up to 1600cc and 97kW),1402,9889,1999,1383
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat B (Cars above 1600cc or 97kW),774,9180,1051,774
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat D (Motorcycles),393,810,535,378
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat C (Goods vehicles and buses),238,7600,320,228
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat E (Open),725,10046,1285,724
May 2009 First Open Bidding Exercise,6/5/2009,2009,Cat A (Cars up to 1600cc and 97kW),1396,8489,2037,1391
May 2009 First Open Bidding Exercise,6/5/2009,2009,Cat B (Cars above 1600cc or 97kW),814,7552,1021,814
May 2009 First Open Bidding Exercise,6/5/2009,2009,Cat D (Motorcycles),392,902,569,376
May 2009 First Open Bidding Exercise,6/5/2009,2009,Cat C (Goods vehicles and buses),231,7100,310,225
May 2009 First Open Bidding Exercise,6/5/2009,2009,Cat E (Open),716,8501,1409,713
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat A (Cars up to 1600cc and 97kW),1396,7589,1906,1390
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat B (Cars above 1600cc or 97kW),769,7490,1001,755
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat D (Motorcycles),421,889,555,418
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat C (Goods vehicles and buses),262,6610,412,255
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat E (Open),717,7789,1365,708
April 2009 First Open Bidding Exercise,8/4/2009,2009,Cat A (Cars up to 1600cc and 97kW),1396,7090,2026,1396
April 2009 First Open Bidding Exercise,8/4/2009,2009,Cat B (Cars above 1600cc or 97kW),761,7501,1036,707
April 2009 First Open Bidding Exercise,8/4/2009,2009,Cat D (Motorcycles),391,1053,545,389
April 2009 First Open Bidding Exercise,8/4/2009,2009,Cat C (Goods vehicles and buses),240,7302,537,240
April 2009 First Open Bidding Exercise,8/4/2009,2009,Cat E (Open),720,7326,1202,720
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat A (Cars up to 1600cc and 97kW),1843,5116,2202,1843
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat B (Cars above 1600cc or 97kW),1110,5001,1359,1101
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat D (Motorcycles),409,912,513,378
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat C (Goods vehicles and buses),265,5600,516,234
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat E (Open),768,5982,1228,768
March 2009 First Open Bidding Exercise,4/3/2009,2009,Cat A (Cars up to 1600cc and 97kW),1839,4890,2376,1839
March 2009 First Open Bidding Exercise,4/3/2009,2009,Cat B (Cars above 1600cc or 97kW),1101,5101,1346,1100
March 2009 First Open Bidding Exercise,4/3/2009,2009,Cat D (Motorcycles),420,958,674,419
March 2009 First Open Bidding Exercise,4/3/2009,2009,Cat C (Goods vehicles and buses),264,5300,512,255
March 2009 First Open Bidding Exercise,4/3/2009,2009,Cat E (Open),762,5700,1298,759
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat A (Cars up to 1600cc and 97kW),1846,4460,2722,1842
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat B (Cars above 1600cc or 97kW),1101,4889,1675,1090
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat D (Motorcycles),434,801,650,434
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat C (Goods vehicles and buses),272,4190,403,271
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat E (Open),762,5889,1507,746
February 2009 First Open Bidding Exercise,4/2/2009,2009,Cat A (Cars up to 1600cc and 97kW),1894,1020,2077,1894
February 2009 First Open Bidding Exercise,4/2/2009,2009,Cat B (Cars above 1600cc or 97kW),1099,689,1231,1097
February 2009 First Open Bidding Exercise,4/2/2009,2009,Cat D (Motorcycles),417,701,674,406
February 2009 First Open Bidding Exercise,4/2/2009,2009,Cat C (Goods vehicles and buses),264,2590,350,264
February 2009 First Open Bidding Exercise,4/2/2009,2009,Cat E (Open),756,3000,1225,746
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat A (Cars up to 1600cc and 97kW),1839,2693,2109,1832
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat B (Cars above 1600cc or 97kW),1099,200,1179,1097
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat D (Motorcycles),411,900,606,386
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat C (Goods vehicles and buses),268,2900,320,260
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat E (Open),758,3200,1025,748
January 2009 First Open Bidding Exercise,7/1/2009,2009,Cat A (Cars up to 1600cc and 97kW),1839,5001,2541,1784
January 2009 First Open Bidding Exercise,7/1/2009,2009,Cat B (Cars above 1600cc or 97kW),1100,3089,1332,1100
January 2009 First Open Bidding Exercise,7/1/2009,2009,Cat D (Motorcycles),409,1000,583,401
January 2009 First Open Bidding Exercise,7/1/2009,2009,Cat C (Goods vehicles and buses),274,3502,344,274
January 2009 First Open Bidding Exercise,7/1/2009,2009,Cat E (Open),767,5701,1118,763
